"GEO_ID","NAME","B19013_001E","B19013_001M"
"id","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)"
"0500000US12035","Flagler County, Florida","60204","8605"
"0500000US12053","Hernando County, Florida","51031","2791"
"0500000US12055","Highlands County, Florida","48698","6164"
"0500000US12057","Hillsborough County, Florida","61154","1127"
"0500000US12061","Indian River County, Florida","59782","6204"
"0500000US12069","Lake County, Florida","57588","3264"
"0500000US12071","Lee County, Florida","62240","1875"
"0500000US12073","Leon County, Florida","54929","2127"
"0500000US12081","Manatee County, Florida","64499","2535"
"0500000US12083","Marion County, Florida","49576","3427"
"0500000US12085","Martin County, Florida","70842","7770"
"0500000US12086","Miami-Dade County, Florida","55171","1246"
"0500000US12087","Monroe County, Florida","68589","7479"
"0500000US12089","Nassau County, Florida","70939","6320"
"0500000US12091","Okaloosa County, Florida","64222","4957"
"0500000US12095","Orange County, Florida","63461","1954"
"0500000US12097","Osceola County, Florida","51760","2976"
"0500000US12099","Palm Beach County, Florida","66623","1292"
"0500000US12101","Pasco County, Florida","55828","2206"
"0500000US12103","Pinellas County, Florida","56737","1299"
"0500000US12105","Polk County, Florida","51833","1157"
"0500000US12107","Putnam County, Florida","42899","4066"
"0500000US12109","St. Johns County, Florida","90356","4977"
"0500000US12111","St. Lucie County, Florida","58039","4843"
"0500000US12113","Santa Rosa County, Florida","64930","6114"
"0500000US12115","Sarasota County, Florida","66342","2517"
"0500000US12117","Seminole County, Florida","70190","3553"
"0500000US12119","Sumter County, Florida","60287","4394"
"0500000US12127","Volusia County, Florida","53766","2548"
"0500000US12131","Walton County, Florida","60457","5900"
"0500000US13013","Barrow County, Georgia","69890","4686"
"0500000US13015","Bartow County, Georgia","59911","5301"
"0500000US13021","Bibb County, Georgia","42140","3768"
"0500000US13031","Bulloch County, Georgia","50436","4602"
"0500000US13045","Carroll County, Georgia","61133","7229"
"0500000US13047","Catoosa County, Georgia","61487","4614"
"0500000US13051","Chatham County, Georgia","57611","3818"
"0500000US13057","Cherokee County, Georgia","86404","7851"
"0500000US13059","Clarke County, Georgia","39799","3247"
"0500000US13063","Clayton County, Georgia","51093","1923"
"0500000US13067","Cobb County, Georgia","79601","2818"
"0500000US13073","Columbia County, Georgia","88761","6099"
"0500000US13077","Coweta County, Georgia","78423","6687"
"0500000US13089","DeKalb County, Georgia","63652","3193"
"0500000US13095","Dougherty County, Georgia","35062","4466"
"0500000US13097","Douglas County, Georgia","62669","6931"
"0500000US13113","Fayette County, Georgia","92172","7124"
"0500000US13115","Floyd County, Georgia","50880","6357"
"0500000US13117","Forsyth County, Georgia","112108","4407"
"0500000US13121","Fulton County, Georgia","80013","2733"
"0500000US13127","Glynn County, Georgia","59004","4958"
"0500000US13135","Gwinnett County, Georgia","72109","2338"
"0500000US13139","Hall County, Georgia","67467","6118"
"0500000US13151","Henry County, Georgia","71939","6110"
"0500000US13153","Houston County, Georgia","66740","8140"
"0500000US13157","Jackson County, Georgia","65063","8857"
"0500000US13185","Lowndes County, Georgia","45683","7502"
"0500000US13215","Muscogee County, Georgia","46934","3607"
"0500000US13217","Newton County, Georgia","57254","6290"
"0500000US13223","Paulding County, Georgia","75800","5246"
"0500000US13245","Richmond County, Georgia","44973","3469"
"0500000US13247","Rockdale County, Georgia","60560","7015"
"0500000US13255","Spalding County, Georgia","51677","8133"
"0500000US13285","Troup County, Georgia","46198","6339"
"0500000US13295","Walker County, Georgia","47856","7456"
"0500000US13297","Walton County, Georgia","66176","5653"
"0500000US13313","Whitfield County, Georgia","52198","6614"
"0500000US15001","Hawaii County, Hawaii","67075","4804"
"0500000US15003","Honolulu County, Hawaii","87470","2197"
"0500000US15007","Kauai County, Hawaii","81971","12731"
"0500000US15009","Maui County, Hawaii","80754","7209"
"0500000US16001","Ada County, Idaho","72021","3159"
"0500000US16005","Bannock County, Idaho","51989","5270"
"0500000US16019","Bonneville County, Idaho","64618","4436"
"0500000US16027","Canyon County, Idaho","58945","3409"
"0500000US16055","Kootenai County, Idaho","62579","4031"
"0500000US16083","Twin Falls County, Idaho","56276","4063"
"0500000US17001","Adams County, Illinois","55727","4350"
"0500000US17019","Champaign County, Illinois","52405","2785"
"0500000US17031","Cook County, Illinois","69429","1100"
"0500000US17037","DeKalb County, Illinois","64131","4173"
"0500000US17043","DuPage County, Illinois","96403","1958"
"0500000US17089","Kane County, Illinois","84368","3053"
"0500000US17091","Kankakee County, Illinois","60923","6321"
"0500000US17093","Kendall County, Illinois","104858","8699"
"0500000US17097","Lake County, Illinois","92511","3088"
"0500000US17099","LaSalle County, Illinois","59130","3378"
"0500000US17111","McHenry County, Illinois","88879","4280"
"0500000US17113","McLean County, Illinois","68784","2499"
"0500000US17115","Macon County, Illinois","50839","4141"
"0500000US17119","Madison County, Illinois","67440","4532"
"0500000US17143","Peoria County, Illinois","57247","3399"
"0500000US17161","Rock Island County, Illinois","58313","5841"
"0500000US17163","St. Clair County, Illinois","57169","5624"
"0500000US17167","Sangamon County, Illinois","61280","2795"
"0500000US17179","Tazewell County, Illinois","65848","3235"
"0500000US17183","Vermilion County, Illinois","43111","5240"
"0500000US17197","Will County, Illinois","90134","2473"
"0500000US17199","Williamson County, Illinois","58097","4102"
"0500000US17201","Winnebago County, Illinois","59455","4124"
"0500000US18003","Allen County, Indiana","56519","2070"
"0500000US18005","Bartholomew County, Indiana","72555","5701"
"0500000US18011","Boone County, Indiana","70813","11979"
"0500000US18019","Clark County, Indiana","59064","4622"
"0500000US18035","Delaware County, Indiana","45065","4090"
"0500000US18039","Elkhart County, Indiana","54531","2747"
"0500000US18043","Floyd County, Indiana","63219","6500"
"0500000US18053","Grant County, Indiana","47206","3943"
"0500000US18057","Hamilton County, Indiana","105062","6164"
"0500000US18059","Hancock County, Indiana","69392","12923"
"0500000US18063","Hendricks County, Indiana","85381","4807"
"0500000US18067","Howard County, Indiana","53440","2880"
"0500000US18081","Johnson County, Indiana","73651","4907"
"0500000US18085","Kosciusko County, Indiana","64099","4660"
"0500000US18089","Lake County, Indiana","57081","2341"
"0500000US18091","LaPorte County, Indiana","56019","4414"
"0500000US18095","Madison County, Indiana","55142","4169"
"0500000US18097","Marion County, Indiana","50458","1301"
"0500000US18105","Monroe County, Indiana","52453","5036"
"0500000US18109","Morgan County, Indiana","62862","3026"
"0500000US18127","Porter County, Indiana","72483","5146"
"0500000US18141","St. Joseph County, Indiana","53456","2318"
"0500000US18157","Tippecanoe County, Indiana","49352","3096"
"0500000US18163","Vanderburgh County, Indiana","51350","2063"
"0500000US18167","Vigo County, Indiana","48013","4825"
"0500000US18177","Wayne County, Indiana","47944","4052"
"0500000US19013","Black Hawk County, Iowa","60506","3838"
"0500000US19049","Dallas County, Iowa","94885","8317"
"0500000US19061","Dubuque County, Iowa","62178","3349"
"0500000US19103","Johnson County, Iowa","66011","6105"
"0500000US19113","Linn County, Iowa","63559","3472"
"0500000US19153","Polk County, Iowa","66918","2399"
"0500000US19155","Pottawattamie County, Iowa","60056","4129"
"0500000US19163","Scott County, Iowa","65122","4166"
"0500000US19169","Story County, Iowa","63107","6663"
"0500000US19193","Woodbury County, Iowa","58945","4620"
"0500000US20015","Butler County, Kansas","61951","7983"
"0500000US20045","Douglas County, Kansas","64233","7902"
"0500000US20091","Johnson County, Kansas","91771","1698"
"0500000US20103","Leavenworth County, Kansas","77070","6989"
"0500000US20161","Riley County, Kansas","50920","4062"
"0500000US20173","Sedgwick County, Kansas","59716","2136"
"0500000US20177","Shawnee County, Kansas","59441","3069"
"0500000US20209","Wyandotte County, Kansas","46964","2826"
"0500000US21015","Boone County, Kentucky","76443","7824"
"0500000US21029","Bullitt County, Kentucky","65560","4706"
"0500000US21037","Campbell County, Kentucky","66439","6672"
"0500000US21047","Christian County, Kentucky","47445","6263"
"0500000US21059","Daviess County, Kentucky","50964","4343"
"0500000US21067","Fayette County, Kentucky","58356","4010"
"0500000US21093","Hardin County, Kentucky","57463","6259"
"0500000US21111","Jefferson County, Kentucky","59049","2142"
"0500000US21117","Kenton County, Kentucky","68849","5525"
"0500000US21145","McCracken County, Kentucky","45084","5521"
"0500000US21151","Madison County, Kentucky","49421","2914"
"0500000US21185","Oldham County, Kentucky","97968","9014"
"0500000US21227","Warren County, Kentucky","52645","3318"
"0500000US22005","Ascension Parish, Louisiana","85425","8633"
"0500000US22015","Bossier Parish, Louisiana","49962","5029"
"0500000US22017","Caddo Parish, Louisiana","45537","4614"
"0500000US22019","Calcasieu Parish, Louisiana","51246","4232"
"0500000US22033","East Baton Rouge Parish, Louisiana","56451","3017"
"0500000US22045","Iberia Parish, Louisiana","50991","6945"
"0500000US22051","Jefferson Parish, Louisiana","56069","2127"
"0500000US22055","Lafayette Parish, Louisiana","60567","4217"
"0500000US22057","Lafourche Parish, Louisiana","51339","5806"
"0500000US22063","Livingston Parish, Louisiana","62187","6786"
"0500000US22071","Orleans Parish, Louisiana","45615","2568"
"0500000US22073","Ouachita Parish, Louisiana","41137","3928"
"0500000US22079","Rapides Parish, Louisiana","50490","3384"
"0500000US22097","St. Landry Parish, Louisiana","38681","4714"
"0500000US22103","St. Tammany Parish, Louisiana","69076","6150"
"0500000US22105","Tangipahoa Parish, Louisiana","47825","8611"
